SaleID,RetailerCountry,RetailerType,Product,Sales Revenue ($),DateOfSale,TimeOfSale,TimeZone
SaleID_1,United States,Outdoors Shop,TrailChef Deluxe Cook Set,200,06/01/2020,23:20:56,EST
SaleID_2,United States,Outdoors Shop,TrailChef Double Flame,7,05/02/2020,17:27:08,EST
SaleID_3,United States,Outdoors Shop,Star Dome,20,30/10/2020,09:04:43,EST
SaleID_4,United States,Outdoors Shop,Star Gazer 2,40,13/11/2020,04:25:06,EST
SaleID_5,Italy,Outdoors Shop,Canyon Mule Carryall,150.5,06/12/2020,11:15:47,CET
SaleID_6,Italy,Outdoors Shop,Firefly 4,1300,07/06/2020,01:54:41,CET
SaleID_7,United Kingdom,Outdoors Shop,Husky Rope 50,270,27/12/2020,02:07:28,GMT
SaleID_8,United Kingdom,Outdoors Shop,Granite Signal Mirror,499.99,15/09/2020,11:44:57,GMT
SaleID_9,United Kingdom,Outdoors Shop,Granite Carabiner,32,23/09/2020,01:40:29,GMT
SaleID_10,Italy,Outdoors Shop,Granite Grip,220,24/06/2020,18:43:04,CET
SaleID_11,Italy,Outdoors Shop,Granite Axe,49.99,19/05/2019,02:12:30,CET
SaleID_12,Mexico,Mall,Ranger Vision,350,05/04/2019,07:38:10,EST
SaleID_13,Mexico,Mall,Trail Scout,80,24/01/2020,08:51:28,EST
SaleID_14,Mexico,Mall,Hailstorm Steel Irons,240,07/12/2019,08:14:53,EST
SaleID_15,Mexico,Mall,Course Pro Umbrella,100.32,13/01/2020,05:32:40,EST
SaleID_16,Mexico,Mall,Course Pro Golf Bag,620,26/11/2020,10:17:48,EET
SaleID_17,Mexico,Mall,Course Pro Gloves,40.5,23/01/2020,19:36:25,EET
SaleID_18,Singapore,Outdoors Shop,Granite Pulley,19,02/01/2019,01:32:09,SGT
SaleID_19,Singapore,Outdoors Shop,Firefly Climbing Lamp,23.45,20/02/2019,07:07:10,SGT
